Company Name,Job Title,Salaries Reported,Location, Gross Salary 
IBM,Data Scientist,95,Bangalore," 113,235.25 "
Fractal,Data Scientist,22,Bangalore," 26,222.90 "
Ericsson-Worldwide,Data Scientist,15,Bangalore," 17,879.25 "
Société Générale,Data Scientist,13,Bangalore," 15,495.35 "
Jio,Data Scientist,11,Bangalore," 13,111.45 "
Ola,Data Scientist,8,Bangalore," 9,535.60 "
Happiest Minds Technologies,Data Scientist,7,Bangalore," 8,343.65 "
Ericsson IT Solutions & Services,Data Scientist,5,Bangalore," 5,959.75 "
Apexon,Data Scientist,5,Bangalore," 5,959.75 "
Bharti Airtel,Data Scientist,5,Bangalore," 5,959.75 "
Mphasis,Data Scientist,5,Bangalore," 5,959.75 "
ascena,Data Scientist,4,Bangalore," 4,767.80 "
QuantZig,Data Scientist,4,Bangalore," 4,767.80 "
MakeMyTrip,Data Scientist,3,Bangalore," 3,575.85 "
Artificial Learning Systems,Data Scientist,3,Bangalore," 3,575.85 "
Dailyhunt,Data Scientist,3,Bangalore," 3,575.85 "
ShareChat,Data Scientist,3,Bangalore," 3,575.85 "
InMobi,Data Scientist,3,Bangalore," 3,575.85 "
Legato Health Technologies,Data Scientist,3,Bangalore," 3,575.85 "
Tech Mahindra,Data Scientist,3,Bangalore," 3,575.85 "
Locus,Data Scientist,2,Bangalore," 2,383.90 "
Intellicar,Data Scientist,2,Bangalore," 2,383.90 "
Monsanto Company,Data Scientist,2,Bangalore," 2,383.90 "
Volvo Group,Data Scientist,1,Bangalore," 1,191.95 "
ABC,Data Scientist,1,Bangalore," 1,191.95 "
GE Power,Data Scientist,1,Bangalore," 1,191.95 "
Automation Anywhere,Data Scientist,1,Bangalore," 1,191.95 "
TEKsystems,Data Scientist,1,Bangalore," 1,191.95 "
XYZ,Data Scientist,1,Bangalore," 1,191.95 "
Texas Instruments,Data Scientist,1,Bangalore," 1,191.95 "
Blackstraw,Data Scientist,1,Bangalore," 1,191.95 "
Atkins,Data Scientist,1,Bangalore," 1,191.95 "
Atlassian,Data Scientist,1,Bangalore," 1,191.95 "
Sonasoft,Data Scientist,1,Bangalore," 1,191.95 "
Abbott,Data Scientist,1,Bangalore," 1,191.95 "
Litmus World,Data Scientist,1,Bangalore," 1,191.95 "
GyanSys,Data Scientist,1,Bangalore," 1,191.95 "
Goldman Sachs,Data Scientist,1,Bangalore," 1,191.95 "
LendingKart,Data Scientist,1,Bangalore," 1,191.95 "
SAP,Data Scientist,1,Bangalore," 1,191.95 "
Autodesk,Data Scientist,1,Bangalore," 1,191.95 "
Gainsight,Data Scientist,1,Bangalore," 1,191.95 "
AXA GO Business Operations,Data Scientist,1,Bangalore," 1,191.95 "
NNT Corp.,Data Scientist,1,Bangalore," 1,191.95 "
Prometheus Group,Data Scientist,1,Bangalore," 1,191.95 "
NetApp,Data Scientist,1,Bangalore," 1,191.95 "
Anheuser-Busch InBev,Data Scientist,1,Bangalore," 1,191.95 "
Piramal Enterprises,Data Scientist,1,Bangalore," 1,191.95 "
Colt Technology Services,Data Scientist,1,Bangalore," 1,191.95 "
Attra,Data Scientist,1,Bangalore," 1,191.95 "
Enquero,Data Scientist,1,Bangalore," 1,191.95 "
The General,Data Scientist,1,Bangalore," 1,191.95 "
Srijan Technologies,Data Scientist,1,Bangalore," 1,191.95 "
Google,Data Scientist,1,Bangalore," 1,191.95 "
Indecomm Global Services,Data Scientist,1,Bangalore," 1,191.95 "
Scalein,Data Scientist,1,Bangalore," 1,191.95 "
Nestaway Technologies,Data Scientist,1,Bangalore," 1,191.95 "
CareerNet Consulting,Data Scientist,1,Bangalore," 1,191.95 "
Rapido,Data Scientist,1,Bangalore," 1,191.95 "
Clairvolex,Data Scientist,1,Bangalore," 1,191.95 "
Play Games24x7,Data Scientist,1,Bangalore," 1,191.95 "
Multi Recruit,Data Scientist,1,Bangalore," 1,191.95 "
YGroup Companies,Data Scientist,1,Bangalore," 1,191.95 "
Other,Data Scientist,1,Bangalore," 1,191.95 "
Apptio,Data Scientist,1,Bangalore," 1,191.95 "
Blackhawk Network,Data Scientist,1,Bangalore," 1,191.95 "
Zolo,Data Scientist,1,Bangalore," 1,191.95 "
HSBC,Data Scientist,1,Bangalore," 1,191.95 "
Pluralsight,Data Scientist,1,Bangalore," 1,191.95 "
Samsung Research America,Data Scientist,1,Bangalore," 1,191.95 "
Im a fresher stop asking me,Data Scientist,1,Bangalore," 1,191.95 "
Evalueserve,Data Scientist,1,Bangalore," 1,191.95 "
MiQ,Data Scientist,1,Bangalore," 1,191.95 "
Tata Health,Data Scientist,1,Bangalore," 1,191.95 "
GE,Data Scientist,1,Bangalore," 1,191.95 "
Credit Suisse,Data Scientist,1,Bangalore," 1,191.95 "
Pexitics,Data Scientist,1,Bangalore," 1,191.95 "
Equinor,Data Scientist,1,Bangalore," 1,191.95 "
Evive,Data Scientist,1,Bangalore," 1,191.95 "
Couture AI,Data Scientist,1,Bangalore," 1,191.95 "
vitrana,Data Scientist,1,Bangalore," 1,191.95 "
AMCORE Financial,Data Scientist,1,Bangalore," 1,191.95 "
IIT Madras,Data Scientist,1,Bangalore," 1,191.95 "
Tempworks Services,Data Scientist,1,Bangalore," 1,191.95 "
Skit,Data Scientist,1,Bangalore," 1,191.95 "
Saankhya Labs,Data Scientist,1,Bangalore," 1,191.95 "
CAET Project Management Consultants,Data Scientist,1,Bangalore," 1,191.95 "
Professional Data Analysts,Data Scientist,1,Bangalore," 1,191.95 "
XYZ (Turkey),Data Scientist,1,Bangalore," 1,191.95 "
WNS,Data Scientist,1,Bangalore," 1,191.95 "
Wipro,Data Scientist,7,Pune," 8,343.65 "
KPIT Technologies,Data Scientist,3,Pune," 3,575.85 "
Abzooba,Data Scientist,3,Pune," 3,575.85 "
Freelancer,Data Scientist,2,Pune," 2,383.90 "
HiLabs (MD),Data Scientist,2,Pune," 2,383.90 "
Genpact,Data Scientist,1,Pune," 1,191.95 "
Zomato,Data Scientist,1,Pune," 1,191.95 "
Hinduja Global Solutions,Data Scientist,1,Pune," 1,191.95 "
Capgemini Invent,Data Scientist,1,Pune," 1,191.95 "
Apple,Data Scientist,1,Pune," 1,191.95 "
PhonePe,Data Scientist,1,Pune," 1,191.95 "
AXA,Data Scientist,1,Pune," 1,191.95 "
Micron Technology,Data Scientist,1,Pune," 1,191.95 "
Clairvoyant,Data Scientist,1,Pune," 1,191.95 "
Smartek21,Data Scientist,1,Pune," 1,191.95 "
Professional Data Analysts,Data Scientist,1,Pune," 1,191.95 "
Bajaj Finserv Health,Data Scientist,1,Pune," 1,191.95 "
The City Bank,Data Scientist,1,Pune," 1,191.95 "
Open Insights,Data Scientist,1,Pune," 1,191.95 "
FogHorn Systems,Data Scientist,1,Pune," 1,191.95 "
Aktana,Data Scientist,1,Pune," 1,191.95 "
Kool Smiles,Data Scientist,1,Pune," 1,191.95 "
Airavaat Car Rentals,Data Scientist,1,Pune," 1,191.95 "
Accretive Wiz@work Consultants,Data Scientist,1,Pune," 1,191.95 "
Wolters Kluwer,Senior Data Scientist,2,Pune," 2,383.90 "
Schlumberger,Data Science Lead,2,Pune," 2,383.90 "
Symbiosis Institute of Technology,Data Science,1,Pune," 1,191.95 "
Thoughtworks,Senior Data Scientist,1,Pune," 1,191.95 "
TVS Motor Company,Senior Data Scientist,1,Pune," 1,191.95 "
Coupa Software Inc,Senior Data Scientist,1,Pune," 1,191.95 "
Infosys,Junior Data Scientist,1,Pune," 1,191.95 "
AppZen,Junior Data Scientist,1,Pune," 1,191.95 "
BNY Mellon,Lead Data Scientist,1,Pune," 1,191.95 "
Optum,Data Scientist,8,Hyderabad," 9,535.60 "
ICICI Bank,Data Scientist,3,Hyderabad," 3,575.85 "
ADP,Data Scientist,3,Hyderabad," 3,575.85 "
MetLife,Data Scientist,3,Hyderabad," 3,575.85 "
Uber,Data Scientist,1,Hyderabad," 1,191.95 "
ABCDEF,Data Scientist,1,Hyderabad," 1,191.95 "
Not Applicable,Data Scientist,1,Hyderabad," 1,191.95 "
Ivy,Data Scientist,1,Hyderabad," 1,191.95 "
Cognizant,Data Scientist,1,Hyderabad," 1,191.95 "
College Board,Data Scientist,1,Hyderabad," 1,191.95 "
Gainsight,Data Scientist,1,Hyderabad," 1,191.95 "
Kroll,Data Scientist,1,Hyderabad," 1,191.95 "
Accenture,Data Scientist,18,New Delhi," 21,455.10 "
Capgemini,Data Scientist,3,New Delhi," 3,575.85 "
Paytm,Data Scientist,3,New Delhi," 3,575.85 "
LiquidHub,Data Scientist,3,New Delhi," 3,575.85 "
Elucidata (MA),Data Scientist,3,New Delhi," 3,575.85 "
Milkbasket,Data Scientist,3,New Delhi," 3,575.85 "
Coforge,Data Scientist,2,New Delhi," 2,383.90 "
Xebia,Data Scientist,2,New Delhi," 2,383.90 "
J.P. Morgan,Data Scientist,1,New Delhi," 1,191.95 "
Capgemini Engineering,Data Scientist,1,New Delhi," 1,191.95 "
Honeywell,Data Scientist,1,New Delhi," 1,191.95 "
Yes Bank,Data Scientist,1,New Delhi," 1,191.95 "
Bank of America,Data Scientist,1,New Delhi," 1,191.95 "
Collabera,Data Scientist,1,New Delhi," 1,191.95 "
IBM,Data Scientist,3,Mumbai," 3,575.85 "
Siemens,Data Scientist,3,Mumbai," 3,575.85 "
Mahindra,Data Scientist,3,Mumbai," 3,575.85 "
XPO Logistics,Data Scientist,3,Mumbai," 3,575.85 "
Karza Technologies,Data Scientist,3,Mumbai," 3,575.85 "
NVIDIA,Data Scientist,2,Mumbai," 2,383.90 "
Oracle,Data Scientist,1,Mumbai," 1,191.95 "
BYJU'S,Data Scientist,1,Mumbai," 1,191.95 "
Morgan Stanley,Data Scientist,1,Mumbai," 1,191.95 "
Synechron,Data Scientist,1,Mumbai," 1,191.95 "
Zycus,Data Scientist,1,Mumbai," 1,191.95 "
PayU,Data Scientist,1,Mumbai," 1,191.95 "
Tata Capital,Data Scientist,1,Mumbai," 1,191.95 "
Hotstar,Data Scientist,1,Mumbai," 1,191.95 "
